 id Especie  Diameter Height ODB TODB Branches foliage Rand set
 296 "BALSAM FIR"  16.6 12.5 63.2 45.8 8.1 9.2 0.614167449833172 0
 297 "BLACK SPRUCE"  15.1 9.6 56.8 42.3 6.8 7.7 0.82090580296938 0
 298 "BLACK SPRUCE"  15.8 9.5 63.4 44 13.2 6.2 0.1872340236216 0
 299 "BLACK SPRUCE"  11.1 8.9 27.4 21.8 3.6 2 0.523435758998203 0
 300 "BLACK SPRUCE"  16.1 10.5 63.6 53.5 8.2 1.8 0.835943237460038 0
 301 "BLACK SPRUCE"  10.2 10.2 26.5 22.3 2.2 2 0.863045256173422 0
 302 "BLACK SPRUCE"  16.6 10.6 92.6 54.9 21.3 16.4 0.616503833988537 0
 303 "BLACK SPRUCE"  14.2 9.2 57.6 37 13 7.6 0.32973624261636 0
 304 "BLACK SPRUCE"  28.8 14.2 257.9 167.6 64.9 25.3 0.998425938730464 0
 305 "BLACK SPRUCE"  17.6 11.3 98.5 60.8 18.5 19.2 0.147246698932682 0
 306 "BLACK SPRUCE"  14.5 10.8 51.4 40.2 7 4.2 0.625154461429088 0
 307 "BLACK SPRUCE"  18.6 11.9 109.2 80.1 22.7 6.5 0.595923350963257 0
 308 "BLACK SPRUCE"  21.1 13.1 156.6 99.7 17.9 39 0.10073384083234 0
 309 "BLACK SPRUCE"  13.2 7.5 50 25.2 8.5 16.4 0.351194309061497 0
 310 "BLACK SPRUCE"  11.7 7.6 43.1 22.9 6.3 14 0.349641131159602 0
 311 "BLACK SPRUCE"  14.7 8 52.4 32.2 7.8 12.4 0.512383218459522 0
 312 "BLACK SPRUCE"  6.4 6 9 5.9 1.7 1.4 0.482447280252436 0
 313 "BLACK SPRUCE"  4.4 3.1 6.8 2.1 1 3.7 0.0943494714637884 1
 314 "BLACK SPRUCE"  2.8 2.4 3 0.9 0.4 1.7 0.689858774285103 0
 315 "BLACK SPRUCE"  5.3 3.3 9.4 2.7 0.7 6 0.603826839733271 0
 316 "BLACK SPRUCE"  15.2 9.5 65.9 43.8 9 13.1 0.233338697566007 0
 317 "BLACK SPRUCE"  17.8 10.7 95.3 68.2 13 14 0.074979485477052 1
 318 "BLACK SPRUCE"  17 11.6 82.1 62.3 9.6 10.1 0.218642872666088 0
 319 "BLACK SPRUCE"  12.2 8.4 43.7 30 7.8 5.8 0.450148795104039 0
 320 "BLACK SPRUCE"  12 10.7 41.3 33.3 3.3 4.7 0.0839007247681555 1
 321 "BLACK SPRUCE"  18.1 12.2 85 64.4 9.3 11.3 0.411669245776275 0
 322 "BLACK SPRUCE"  15.7 13.6 67.8 54.6 4.2 9 0.465612884957369 0
 323 "BLACK SPRUCE"  18.4 13.1 111.3 74.9 15.8 20.6 0.824978384267191 0
 324 "BLACK SPRUCE"  13 12.4 47.5 38.7 2.5 6.3 0.34757353758255 0
 325 "BLACK SPRUCE"  18.3 13 88.8 72.3 7.7 8.8 0.0775842051849903 1
 326 "BLACK SPRUCE"  21.3 13.1 125.9 97.6 15.9 12.3 0.42069414244327 0
 327 "BLACK SPRUCE"  21.3 13.3 133.9 107.9 19 7 0.269695486282888 0
 328 "BLACK SPRUCE"  15.3 11.7 64.8 51.8 7.3 5.8 0.543650189464273 0
 329 "BLACK SPRUCE"  19.5 13.1 124.5 91.7 12.4 20.4 0.665742513964903 0
 330 "BLACK SPRUCE"  14.5 9.2 51.3 34.4 8.3 8.7 0.0901689564810253 1
 331 "BLACK SPRUCE"  9.2 7.6 21.5 15 2.1 4.4 0.27408108828099 0
 332 "BLACK SPRUCE"  14.7 8.9 74.2 40.2 16.2 17.8 0.415448681762557 0
 333 "BLACK SPRUCE"  13.3 8.5 49.4 31.9 6.2 11.3 0.483522546418399 0
 334 "BLACK SPRUCE"  5.3 4.4 10.3 3 2.2 5.1 0.932730905243334 0
 335 "BLACK SPRUCE"  5 3.7 6.9 2.3 0.9 3.7 0.448953539883164 0
 336 "BLACK SPRUCE"  6.2 4.6 7.2 3.1 0.7 3.4 0.678576347773038 0
 337 "BLACK SPRUCE"  2.9 2.9 2.6 1 0.3 1.3 0.513262816953692 0
 338 "BLACK SPRUCE"  2.8 2.5 3.8 0.9 0.4 2.5 0.0841323217768878 1
 339 "BLACK SPRUCE"  17.7 13 103.4 75.4 15 12.9 0.0353351959179754 1
 340 "BLACK SPRUCE"  12.9 11.3 45.6 37.9 3.9 3.9 0.454845124021009 0
 341 "BLACK SPRUCE"  13.9 12.2 61.6 46.5 8.6 6.5 0.0823938859963915 1
 342 "BLACK SPRUCE"  17 12.7 94.6 72.7 15.1 6.8 0.931860827348944 0
 343 "BLACK SPRUCE"  21.4 14 151.5 106.7 32.5 12.2 0.977393220291444 0
 344 "BLACK SPRUCE"  21.5 13.6 150.8 111.9 21.5 17.4 0.571381667599491 0
 345 "BLACK SPRUCE"  15.1 10.3 66.8 45.1 9.7 12 0.479960555170851 0
 346 "BLACK SPRUCE"  19.2 12.5 114.8 81.2 9.6 24 0.465352299595755 0
 347 "BLACK SPRUCE"  21.4 12 137.8 94.7 21.2 22 0.778448952337528 0
 348 "BLACK SPRUCE"  28.2 14.9 323.9 201 80.6 42.2 0.717752721474177 0
 349 "BLACK SPRUCE"  15.9 10.5 61.6 48.7 6.6 6.3 0.822401915908753 0
 350 "BLACK SPRUCE"  16.9 10.7 76.8 53.9 7.7 15.2 0.924644943015367 0
 351 "BLACK SPRUCE"  8.8 6.7 18.2 11.7 3.1 3.4 0.879404648792486 0
 352 "BLACK SPRUCE"  13.4 7.9 43.6 26.1 8.3 9.2 0.753473432952499 0
 353 "BLACK SPRUCE"  10.8 7.6 30.3 19.4 4.7 6.2 0.953720985095411 0
 354 "BLACK SPRUCE"  12.9 7.6 35.9 22.6 6 7.4 0.810001649699975 0
 355 "BLACK SPRUCE"  10.2 7.5 22.8 15.5 2.7 4.6 0.566784280410466 0
 356 "BLACK SPRUCE"  10.7 8.3 26.7 18.4 3.4 4.9 0.500369702363252 0
 357 "BLACK SPRUCE"  7.5 7.5 13.5 10.8 1 1.7 0.755532145877043 0
 358 "BLACK SPRUCE"  17 11.1 86 61.8 10.8 13.4 0.595695543390817 0
 359 "BLACK SPRUCE"  20.9 12.1 123.5 84.8 19.6 19.2 0.215056899618781 0
 360 "BLACK SPRUCE"  15.6 10.3 62.2 46.1 7.4 8.6 0.325089132679871 0
 361 "BLACK SPRUCE"  12.5 12.1 43 36.9 1.3 4.8 0.780926146934457 0
 362 "BLACK SPRUCE"  11.8 10 35.2 29.1 2 4.1 0.988637639559858 0
 363 "BLACK SPRUCE"  14.7 12 57.5 44.3 4.2 9.1 0.242276457529874 0
 364 "BLACK SPRUCE"  15.5 12.9 70.9 61.3 2.9 6.7 0.218312408443994 0
 365 "BLACK SPRUCE"  16.5 11.3 72.3 55.8 8 8.5 0.479697298604015 0
 366 "BLACK SPRUCE"  18 10.9 95.8 64.1 14 17.7 0.0460795554271805 1
 367 "BLACK SPRUCE"  9.2 7.2 16.1 11.4 2.5 2.2 0.446201026889461 0
 368 "BLACK SPRUCE"  13.2 9 49.4 31.3 9.4 8.8 0.368439504978531 0
 369 "BLACK SPRUCE"  15.3 10.1 57.5 39.9 6.5 11.1 0.366012591752242 0
 370 "BLACK SPRUCE"  16.4 10.1 82.7 56.7 5.9 20.2 0.120603803223854 0
 371 "BLACK SPRUCE"  12.8 8.9 41.7 25.6 6.9 9.2 0.609713329284139 0
 372 "BLACK SPRUCE"  11.5 9.9 33.2 24.3 2.3 6.6 0.756362783469615 0
 373 "BLACK SPRUCE"  14.5 9.3 50.8 30 4 16.8 0.57380574652216 0
 374 "BLACK SPRUCE"  5.8 5.6 7.2 4 1.3 1.9 0.0819636321209823 1
 375 "BLACK SPRUCE"  3.9 3.8 3.2 1.5 0.6 1.1 0.117833159482681 0
 376 "BLACK SPRUCE"  11.1 8.8 29.4 19.1 4.3 6 0.317099449133736 0
 377 "BLACK SPRUCE"  8.3 5.5 13.2 6.4 2.4 4.4 0.895894600120184 0
 378 "BLACK SPRUCE"  12.7 10.3 43.5 35.1 3.9 4.4 0.484669198567503 0
 379 "BLACK SPRUCE"  19.2 10 76.2 56.3 11 8.9 0.919060707099991 0
 380 "BLACK SPRUCE"  18.2 9.9 108 67.8 25.6 14.5 0.148288532446271 0
 381 "BLACK SPRUCE"  13.5 10.4 49 40.4 4.1 4.5 0.895931770073002 0
 382 "BLACK SPRUCE"  8.6 6.3 18.3 9.7 2.4 6.2 0.219939218811729 0
 383 "BLACK SPRUCE"  6 5 8.4 4.3 1.2 2.8 0.994760388507017 0
 384 "BLACK SPRUCE"  4.4 3.2 4.6 1.8 1.2 1.7 0.23324377853857 0
 385 "BLACK SPRUCE"  4.5 3.2 6.6 2.3 1.3 3 0.483560037584438 0
 386 "BLACK SPRUCE"  2.6 2.3 3.7 0.9 0.6 2.2 0.919638956210354 0
 387 "BLACK SPRUCE"  4.9 3 7.9 2.2 1.2 4.5 0.125187214451419 0
 388 "BLACK SPRUCE"  2.9 2.1 4.1 1.2 1 1.9 0.487432756004715 0
 389 "BLACK SPRUCE"  2.8 2.2 3.9 1.1 0.6 2.2 0.402916850519943 0
 390 "BLACK SPRUCE"  2 2.1 2.6 0.8 0.3 1.5 0.397449380471754 0
 391 "BLACK SPRUCE"  21 15.2 140.1 107.5 17.3 15.2 0.250417978221318 0
 392 "BLACK SPRUCE"  14.5 14.2 58.7 53.9 2 2.8 0.475717469020261 0
 393 "BLACK SPRUCE"  17 13 73.9 65.1 4 4.8 0.463786055604184 0
 394 "BLACK SPRUCE"  24.4 15.8 202.4 160.9 22 19.5 0.0428709780559445 1
 395 "BLACK SPRUCE"  20 13.3 123.4 98.4 13.2 11.7 0.94274823277285 0
 396 "BLACK SPRUCE"  15.3 14.7 81.5 68.2 5.6 7.7 0.471643927376866 0
 397 "BLACK SPRUCE"  8.3 4.6 21.4 7.3 4 10.1 0.011449078678723 1
 398 "BLACK SPRUCE"  5.4 3.9 7.2 3 0.7 3.4 0.0665504696475688 1
 399 "BLACK SPRUCE"  7.4 4.4 13.5 5 2.2 6.3 0.301143316647865 0
 400 "BLACK SPRUCE"  6.5 4.4 9.6 3.6 0.9 5.1 0.23390147604132 0
 401 "BLACK SPRUCE"  7.9 4.4 12.7 5.9 1.9 4.9 0.203977245685316 0
 402 "BLACK SPRUCE"  21 11.6 112.8 73.1 21.9 17.8 0.597193948615669 0
 403 "BLACK SPRUCE"  15.8 11.2 72.3 48.3 9.2 14.9 0.00923067840748297 1
 404 "BLACK SPRUCE"  11.4 10.6 36.8 30.1 4 2.7 0.133117974862218 0
 405 "BLACK SPRUCE"  17.5 12.5 105 79.7 11.2 14.1 0.902474094383686 0
 406 "BLACK SPRUCE"  19 12.7 112.6 87.4 14.8 10.5 0.210520411299733 0
 407 "BLACK SPRUCE"  14 11 55.5 43.9 6.2 5.3 0.386699801133571 0
 408 "BLACK SPRUCE"  16.9 12.2 89.5 70.6 9 9.9 0.692799334281572 0
 409 "BLACK SPRUCE"  12.5 9.4 43.4 29.6 5.7 8.1 0.262883319965296 0
 410 "BLACK SPRUCE"  16.7 9.8 77.8 51.5 14.3 12.1 0.230915528594986 0
 411 "BLACK SPRUCE"  12.2 9.1 35.5 24 5.1 6.4 0.595807356416235 0
 412 "BLACK SPRUCE"  16.5 10.3 79.5 50.2 15.5 13.8 0.782766903723581 0
 413 "BLACK SPRUCE"  17.4 10.2 91.3 55.7 19.5 16.1 0.715821451396114 0
 414 "BLACK SPRUCE"  9.3 7.9 20 14.6 1.9 3.5 0.566941663171703 0
 415 "BLACK SPRUCE"  12 9.2 35.7 25.4 5.7 4.6 0.409840741157775 0
 416 "BLACK SPRUCE"  15 9.7 60.5 35.9 10.8 13.7 0.174237789087055 0
 417 "BLACK SPRUCE"  21 11 116.4 66.1 23.1 27.2 0.265628091605552 0
 418 "BLACK SPRUCE"  13.4 9.3 33.5 24.5 2.3 6.7 0.816714097481877 0
 419 "BLACK SPRUCE"  17.3 9.4 75.3 43.2 16.8 15.3 0.736475177563698 0
 420 "BLACK SPRUCE"  10.1 5.5 21.3 10.4 4.1 6.7 0.973961810487112 0
 421 "BLACK SPRUCE"  10 6.3 23.3 12.3 3.8 7.2 0.681583629217189 0
 422 "BLACK SPRUCE"  7.1 5.4 10.3 5.4 2.2 2.7 0.647962547666398 0
 423 "BLACK SPRUCE"  4.7 4.7 3.2 2.2 0.8 0.2 0.383445675787312 0
 424 "BLACK SPRUCE"  3.9 4.8 2.2 1.9 0.1 0.2 0.0646400247817479 1
 425 "BLACK SPRUCE"  12.3 6.8 9.3 17.5 2.5 20 0.471802408215692 0
 426 "BLACK SPRUCE"  18.4 9.5 96.8 50.1 21.2 25.5 0.610179803149122 0
 427 "BLACK SPRUCE"  15 9.6 68.3 37.1 14.3 16.9 0.485883309231843 0
 428 "BLACK SPRUCE"  16.5 13.1 84.6 65.2 8.3 11.1 0.832565195573711 0
 429 "BLACK SPRUCE"  21.4 14.4 164.6 120.9 30.8 12.9 0.96491282496886 0
 430 "BLACK SPRUCE"  20.5 14.3 148.3 110.2 26 12 0.970387039055898 0
 431 "BLACK SPRUCE"  16.7 12.4 63.3 49.8 5.7 7.8 0.714647772770634 0
 432 "BLACK SPRUCE"  16.2 12.4 63.1 54.5 4.6 4 0.800310540394301 0
 433 "BLACK SPRUCE"  19 13.3 104.8 82.7 12 10.2 0.185662752173952 0
 434 "BLACK SPRUCE"  1.9 2 1 0 0.4 0.7 0.556611012850832 0
 435 "BLACK SPRUCE"  1.3 1.9 2.3 0 0.5 1.8 0.292855037063548 0
 436 "BLACK SPRUCE"  1.9 2.3 1.6 0 0.6 1 0.732124370466848 0
 437 "BLACK SPRUCE"  22.1 13.8 172.5 112.6 27.4 32.5 0.575344938329496 0
 438 "BLACK SPRUCE"  18.8 12.9 94.5 68.3 14 12.2 0.831673255580031 0
 439 "BLACK SPRUCE"  12.5 11 48.7 34.3 4.2 10.2 0.488159783017837 0
 440 "BLACK SPRUCE"  11.5 8.7 30.6 21.9 3.5 5.2 0.304321891500718 0
 441 "BLACK SPRUCE"  15.4 9.9 52.4 40.8 7 4.5 0.327835362245061 0
 442 "BLACK SPRUCE"  20.2 15.5 154 121.8 16.8 15.5 0.768526567461005 0
 443 "BLACK SPRUCE"  18.3 16.2 116.8 101.3 9.5 5.9 0.978668340879108 0
 444 "BLACK SPRUCE"  14.4 14.7 64.6 57.3 4.5 2.8 0.394748891136392 0
 445 "BLACK SPRUCE"  12.7 13.3 44.7 39.8 3.2 1.6 0.705571143738343 0
 446 "BLACK SPRUCE"  23.7 17.2 196.8 171 15.2 10.6 0.0288654223370873 1
 447 "BLACK SPRUCE"  23.8 17.7 190.4 170 12.7 7.7 0.217271214105594 0
 448 "BLACK SPRUCE"  23.8 18.1 250.8 206.9 27.5 16.4 0.469293774011194 0
 449 "BLACK SPRUCE"  18.6 17.3 126.3 115.8 5.3 5.2 0.605769397177093 0
 450 "BLACK SPRUCE"  14.5 14.4 69.5 62.9 3.9 2.7 0.530744114717857 0
 451 "BLACK SPRUCE"  18.3 8.7 80.5 50.3 16.4 13.8 0.574643972226472 0
 452 "BLACK SPRUCE"  21.9 12.2 142.6 100.7 28.3 13.5 0.447412700911072 0
 453 "BLACK SPRUCE"  11.1 10.9 39.8 34.1 3.4 2.4 0.752492062105835 0
 454 "BLACK SPRUCE"  13.9 11.7 47.6 43.8 2.1 1.6 0.832955814635079 0
 455 "BLACK SPRUCE"  11.5 12.2 43.4 36.8 1.9 4.6 0.227717208274846 0
 456 "BLACK SPRUCE"  21.1 14.9 123.5 101.5 12.6 9.4 0.768542040241017 0
 457 "BLACK SPRUCE"  25.7 14.8 210.7 159.3 29.8 21.7 0.881788354494446 0
 458 "BLACK SPRUCE"  13.1 6.9 34.8 21.4 0.1 13.3 0.305095503538999 0
 459 "BLACK SPRUCE"  13.3 7 38.3 21.3 1.4 15.7 0.288767869892912 0
 460 "BLACK SPRUCE"  17.5 11 86.2 60.1 18.1 8 0.97574059338573 0
 461 "BLACK SPRUCE"  11.7 9.2 36.8 29.6 3.6 3.6 0.38935906835525 0
 462 "BLACK SPRUCE"  18.2 9.7 79.3 56.2 10.3 12.9 0.979009944623705 0
 463 "BLACK SPRUCE"  16.2 9.9 57.7 45 8.1 4.6 0.770430650907087 0
 464 "BLACK SPRUCE"  23.3 15.5 172.3 144.4 16.5 11.4 0.735924218043457 0
 465 "BLACK SPRUCE"  16.6 13.9 88 74.6 7.2 6.2 0.544466174039649 0
 466 "BLACK SPRUCE"  13.2 12.3 44.6 39.1 3.1 2.5 0.624459503087755 0
 467 "BLACK SPRUCE"  26.3 12.9 277.7 198.2 51.4 28.1 0.0226378080600914 1
 468 "BLACK SPRUCE"  21.5 11.7 125.4 100.2 16.3 8.8 0.429463121320636 0
 469 "BLACK SPRUCE"  19.2 8.5 108.9 69.8 23.6 15.4 0.877432811225879 0
 470 "BLACK SPRUCE"  15.6 9.8 71.7 49.5 10 12.3 0.24851657504223 0
 471 "BLACK SPRUCE"  21.8 8.3 167.6 88.3 47.7 31.6 0.476421658629696 0
 472 "BLACK SPRUCE"  16.7 9.2 78.3 52.6 3.5 22.2 0.879549294059576 0
 473 "BLACK SPRUCE"  14.5 9.2 56.7 38.7 10 8.1 0.24918114352087 0
 474 "BLACK SPRUCE"  28.6 14.4 258.8 187.3 38 33.4 0.526181471757553 0
 475 "BLACK SPRUCE"  23.7 13.7 172.7 137.8 21.2 13.6 0.28182579533838 0
 476 "BLACK SPRUCE"  18.9 11 106.8 73.5 25.7 7.6 0.907030481002525 0
 477 "BLACK SPRUCE"  22.2 11.8 169.3 106 45.5 17.8 0.913015117594067 0
 478 "BLACK SPRUCE"  10.4 8.4 17.5 14.4 1.7 1.4 0.498247251274547 0
 479 "BLACK SPRUCE"  14 9 45.7 35 5.2 5.5 0.74161761463025 0
 480 "BLACK SPRUCE"  11.4 9.6 31.2 24.1 3 4.1 0.944218108408488 0
 481 "BLACK SPRUCE"  21.7 10.4 149.1 83.3 24.9 40.9 0.621225707143617 0
 482 "BLACK SPRUCE"  18.8 11.1 103.8 70.8 24.7 8.3 0.309126462827411 0
 483 "BLACK SPRUCE"  20.2 15.3 146.4 111.9 18.3 16.2 0.215861390323275 0
 484 "BLACK SPRUCE"  16 13.6 87.6 70.5 8.6 8.5 0.754455140249705 0
 485 "BLACK SPRUCE"  13.5 11.8 53.5 44.2 4.1 5.3 0.196606852461845 0
 486 "BLACK SPRUCE"  13.3 11.8 52.1 42.9 5.2 4 0.493545266046281 0
 487 "BLACK SPRUCE"  11 10.5 38.1 31.1 2.3 4.6 0.222003971897307 0
 488 "BLACK SPRUCE"  18.2 13.2 108.1 87 14.1 7 0.157383166762284 0
 489 "BLACK SPRUCE"  11 11.3 35 29.9 2.1 3 0.0650806343703909 1
 490 "BLACK SPRUCE"  10.7 11.3 31.6 27.2 2.4 2 0.646387341599308 0
 491 "BLACK SPRUCE"  13.4 11.3 44.1 41.1 2.4 0.6 0.486219148789314 0
 492 "BLACK SPRUCE"  15 12.4 73 61.1 5.8 6.1 0.510231709208414 0
 493 "BLACK SPRUCE"  13.2 11.1 45 39.8 1.9 3.2 0.280013349426132 0
 494 "BLACK SPRUCE"  14.8 11.5 56.3 48.3 3.9 4.1 0.502965124224192 0
 495 "BLACK SPRUCE"  16 11.8 73.9 58.4 10.1 5.4 0.279531273534113 0
 496 "BLACK SPRUCE"  13.9 12.2 57.3 46.6 5.4 5.4 0.131650847909311 0
 497 "BLACK SPRUCE"  23.8 12.7 189.8 129.7 36.2 23.9 0.112098238281836 0
 498 "BLACK SPRUCE"  18.6 11.7 121.8 78.1 26.9 16.7 0.218182931387221 0
 499 "BLACK SPRUCE"  12.3 10 37.8 28.5 6 3.3 0.182332654014159 0
 500 "BLACK SPRUCE"  11.9 11.5 38.5 31.5 3.7 3.3 0.639900157736962 0
 501 "BLACK SPRUCE"  18.1 12.9 107.2 76.4 21 9.8 0.244317176522812 0
 502 "BLACK SPRUCE"  24.2 13.7 187.6 131.2 29.7 26.7 0.688772195516771 0
 503 "BLACK SPRUCE"  19.2 13.2 132.1 99.1 15.1 17.9 0.0877296565307945 1
 504 "BLACK SPRUCE"  14.7 11.1 63.5 50.5 4.7 8.3 0.546230151510722 0
 505 "BLACK SPRUCE"  10.9 10.6 28.6 25.6 1.7 1.4 0.996225333043587 0
 506 "BLACK SPRUCE"  5.8 3.6 7.3 3.1 0.7 3.5 0.117073755514015 0
 507 "BLACK SPRUCE"  6.2 4.6 8.9 4.2 0 4.7 0.951251094913503 0
 508 "BLACK SPRUCE"  6.6 4.3 9.8 4.9 0.9 4 0.447657268289974 0
 509 "BLACK SPRUCE"  7 4.9 9.4 4 0.8 4.7 0.632516838658143 0
 510 "BLACK SPRUCE"  6.4 4.5 9.4 3.1 0.5 5.9 0.903625883010188 0
 511 "BLACK SPRUCE"  6.3 4.5 6.9 3.1 0 3.9 0.892910243302899 0
 512 "BLACK SPRUCE"  8.8 11.3 19.9 18.8 0.4 0.7 0.851180122204907 0
 513 "BLACK SPRUCE"  5.7 3.8 11.8 2.7 2.1 7 0.969423553930082 0
 514 "BLACK SPRUCE"  7.2 4.4 10.1 5 1.2 3.9 0.54973783716776 0
 515 "BLACK SPRUCE"  6.7 6.6 7.7 5.9 0.6 1.2 0.203900286027078 0
 516 "BLACK SPRUCE"  8.7 8.5 14.6 12.1 2.2 0.3 0.588721104694046 0
 517 "BLACK SPRUCE"  3 2.5 3.6 1 0 2.6 0.251404503313286 0
 518 "BLACK SPRUCE"  3.9 3 5.4 1.6 0.9 2.8 0.297926338027828 0
 519 "BLACK SPRUCE"  2.4 2.5 6.1 1.2 1 3.9 0.784584608659885 0
 520 "BLACK SPRUCE"  3.1 2.7 3.1 2.1 0.8 0.2 0.987412551344779 0
 521 "BLACK SPRUCE"  3.2 3 3.2 1.6 1.4 0.2 0.261624612012014 0
 522 "BLACK SPRUCE"  3.4 2.9 3.2 1.2 0 2 0.683036615230229 0
 523 "BLACK SPRUCE"  4.3 3.9 3.6 1.6 0 2 0.308755745844588 0
 524 "BLACK SPRUCE"  8.4 5 16.8 5.4 0 11.4 0.702006187250067 0
 525 "BLACK SPRUCE"  2.3 1.9 3.2 0.4 0 2.8 0.457891663957953 0
 526 "BLACK SPRUCE"  3.3 2.4 2.8 1.1 0 1.7 0.447790744320801 0
 527 "BLACK SPRUCE"  8.6 5.2 18.6 9.1 0 9.5 0.322168477300994 0
 528 "BLACK SPRUCE"  9.7 8.1 13.8 12.6 0.4 0.8 0.743901138570911 0
 529 "BLACK SPRUCE"  9.1 9.4 18.8 16.8 1.2 0.9 0.81743769573064 0
 530 "BLACK SPRUCE"  17 12.8 84.1 64.9 8.7 10.5 0.73123221730485 0
 531 "BLACK SPRUCE"  8.3 6.1 14.1 8.1 2.1 3.9 0.077105283538998 1
 532 "BLACK SPRUCE"  12.7 13.5 51.1 44.4 3.8 3 0.0748705807442168 1
 533 "BLACK SPRUCE"  13.4 9.1 48.4 34.4 6.6 7.5 0.847358514980668 0
 534 "BLACK SPRUCE"  9 9.8 31.9 19.1 6.8 6 0.593406281622672 0
 535 "BLACK SPRUCE"  8.9 5.1 13.6 8.4 1.4 3.7 0.0546626760313841 1
 536 "BLACK SPRUCE"  10 7 21.7 13.1 3.8 4.9 0.619439808819051 0
 537 "BLACK SPRUCE"  9.1 5.6 18.7 9.7 3.1 6 0.940633834504312 0
 538 "BLACK SPRUCE"  16.7 11.4 83.6 51.2 12.7 19.7 0.913672394781056 0
 539 "BLACK SPRUCE"  14.8 12.4 83.2 64.4 10.8 8.1 0.463084196717304 0
 540 "BLACK SPRUCE"  24.2 13 229.9 131.9 69.1 28.9 0.478958387124156 0
 541 "BLACK SPRUCE"  24.8 15.5 259.2 160.9 36.2 62 0.940519374616909 0
 542 "BLACK SPRUCE"  21.5 14.2 151.8 116.9 23 11.9 0.918752485599455 0
 543 "BLACK SPRUCE"  16.3 12.8 86.3 65.6 12.7 8 0.186297527551153 0
 544 "BLACK SPRUCE"  10.8 11.5 32.2 25.7 4.7 1.9 0.299783287682341 0
 545 "BLACK SPRUCE"  11.9 12 37 33.6 2.6 0.9 0.417492130853835 0
 546 "BLACK SPRUCE"  21 13.4 176.1 99.8 54.2 22.1 0.100530522723872 0
 547 "BLACK SPRUCE"  12.7 9.6 64.1 47.4 6 10.6 0.304457235861734 0
 548 "BLACK SPRUCE"  11.8 10.3 33.6 28 1.9 3.6 0.112966972440791 0
 549 "BLACK SPRUCE"  13.5 9.9 45.1 34.8 4.1 6.2 0.604008190004307 0
 550 "BLACK SPRUCE"  3.9 3.6 4.7 2 0.5 2.2 0.381008824102412 0
 551 "BLACK SPRUCE"  3.8 2.8 4 1.2 0.5 2.3 0.150337635507503 0
 552 "BLACK SPRUCE"  1.2 1.9 1.1 0 0 1.1 0.65301398054894 0
 553 "BLACK SPRUCE"  16.9 10.5 100.4 51.2 27.4 21.7 0.599129492760109 0
 554 "BLACK SPRUCE"  14.1 9 45.1 29.1 7.4 8.7 0.569240948149971 0
 555 "BLACK SPRUCE"  23.5 13.1 207.6 118 40.4 49.2 0.98733391997647 0
 556 "BLACK SPRUCE"  19.7 11.5 112.7 79.5 18.4 14.8 0.0801493145746538 1
 557 "BLACK SPRUCE"  17.5 11.9 85.4 53.1 10.7 21.6 0.950713149731239 0
 558 "BLACK SPRUCE"  8.5 8 14.4 11.6 0.8 1.9 0.947399879324899 0
 559 "BLACK SPRUCE"  14.8 9.8 56.9 39 7 11 0.403772689067738 0
 560 "BLACK SPRUCE"  11.6 9.7 30.8 24.1 2.9 3.7 0.860254071933285 0
 561 "BLACK SPRUCE"  20.5 10.7 120.6 72.3 32.8 15.6 0.724454168439535 0
 562 "BLACK SPRUCE"  14.2 9.9 53.8 38.6 7.4 7.7 0.340923788379206 0
 563 "BLACK SPRUCE"  17.9 12.9 108.7 77.6 13.6 17.4 0.28540170675821 0
 564 "BLACK SPRUCE"  19.9 13.6 91.3 68.9 11.3 11.1 0.0290862834803343 1
 565 "BLACK SPRUCE"  14.6 13.4 68.5 51.4 5.8 11.3 0.0603335478939231 1
 566 "BLACK SPRUCE"  23 13.6 239.9 133.7 58.9 47.4 0.0835886154946878 1
 567 "BLACK SPRUCE"  17.8 12.1 102.4 70 17.6 14.8 0.293360772830345 0
 568 "BLACK SPRUCE"  17.5 11.6 84.9 62.9 10.9 11.1 0.888209311809204 0
 569 "BLACK SPRUCE"  22 12.7 141.9 90.7 33.6 17.6 0.617272064996787 0
 570 "BLACK SPRUCE"  11.9 9.9 39.6 25.2 6.2 8.2 0.151748985983626 0
 571 "BLACK SPRUCE"  22 14.4 163 106.6 24.2 32.3 0.328878337903534 0
 572 "BLACK SPRUCE"  15.2 10.5 61.5 42.4 11.4 7.7 0.0423483718920903 1
 573 "BLACK SPRUCE"  3.2 2.8 2.6 1.1 1.5 0 0.0077195717670334 1
 574 "BLACK SPRUCE"  6.7 4.3 7.9 3.8 1.2 3 0.160808610107845 0
 575 "BLACK SPRUCE"  4.1 2.7 5.8 2.1 1.6 2.1 0.713861086208114 0
 576 "BLACK SPRUCE"  3.1 2.7 1.6 0.8 0.1 0.6 0.621995686848282 0
 577 "BLACK SPRUCE"  3.8 4.1 2.7 1.7 0.1 0.8 0.928534787597439 0
 578 "BLACK SPRUCE"  10.4 6.9 28.9 15.2 6 7.6 0.555112117828566 0
 579 "BLACK SPRUCE"  2.5 2.5 1.5 0.5 0.1 0.9 0.229859728610833 0
 580 "BLACK SPRUCE"  3.7 2.6 2.5 0.7 0.1 1.7 0.550755634649351 0
 581 "BLACK SPRUCE"  7.4 5.3 12.3 6.7 0.3 5.2 0.392180605255253 0
